# Sample: BMO N2 light
# Condition: N2 light
# Solvent: water + DMSO PBN stock
# Microwave Frequency: 9.85 GHz
# Field unit: G
# XPTS: 1800
# Date: demo
Field_G    Intensity
3450.000000    -0.029691075
3450.072262    -0.004490950
3450.144525    -0.050226362
3450.216787    0.005487227
3450.289049    0.017238242
3450.361312    -0.021195419
3450.433574    0.000088286
3450.505837    -0.004224837
3450.578099    -0.019756372
3450.650361    -0.031018794
3450.722624    -0.059193086
3450.794886    0.023752313
3450.867148    -0.011357030
3450.939411    0.050559389
3451.011673    0.009715880
3451.083936    -0.003482824
3451.156198    -0.025998031
3451.228460    0.023391342
3451.300723    -0.022333520
3451.372985    0.027690278
3451.445247    -0.019709933
3451.517510    -0.005623176
3451.589772    -0.046768135
3451.662034    0.046364632
3451.734297    -0.012331463
3451.806559    -0.019331174
3451.878822    0.009488757
3451.951084    -0.031501916
3452.023346    0.008471070
3452.095609    -0.038219437
3452.167871    0.003138670
3452.240133    -0.035133660
3452.312396    -0.054221888
3452.384658    -0.024261650
3452.456921    -0.045209567
3452.529183    0.003391982
3452.601445    -0.009401277
3452.673708    0.002360079
3452.745970    -0.007700100
3452.818232    -0.018411083
3452.890495    -0.009197891
3452.962757    0.015488573
3453.035019    -0.014262749
3453.107282    -0.028195569
3453.179544    -0.033190346
3453.251807    -0.015156527
3453.324069    -0.027863199
3453.396331    0.035508461
3453.468594    -0.038168682
3453.540856    -0.035821045
3453.613118    -0.017124039
3453.685381    0.005913549
3453.757643    -0.016189704
3453.829906    -0.032793684
3453.902168    -0.029144267
3453.974430    -0.018145665
3454.046693    0.013762208
3454.118955    -0.033229274
3454.191217    -0.011859792
3454.263480    -0.024415002
3454.335742    -0.001816566
3454.408004    -0.000057830
3454.480267    -0.044906377
3454.552529    0.047894172
3454.624792    -0.005020814
3454.697054    -0.021844583
3454.769316    -0.031098124
3454.841579    -0.015802925
3454.913841    -0.008773508
3454.986103    0.004808129
3455.058366    -0.009380475
3455.130628    0.002153375
3455.202890    -0.048271915
3455.275153    -0.027603046
3455.347415    -0.033713488
3455.419678    -0.005491248
3455.491940    0.001588416
3455.564202    -0.044746410
3455.636465    -0.013464704
3455.708727    0.008067055
3455.780989    0.012646541
3455.853252    -0.036250828
3455.925514    0.004188002
3455.997777    -0.001208705
3456.070039    -0.019847902
3456.142301    0.037949397
3456.214564    -0.036270741
3456.286826    -0.015992606
3456.359088    0.001655789
3456.431351    -0.003431095
3456.503613    -0.013399982
3456.575875    0.023903070
3456.648138    0.025564073
3456.720400    0.012745282
3456.792663    0.014900494
3456.864925    -0.010537983
3456.937187    -0.037260019
3457.009450    0.043508031
3457.081712    -0.032243114
3457.153974    0.044531658
3457.226237    -0.012216113
3457.298499    -0.003558500
3457.370762    -0.013204762
3457.443024    0.013960686
3457.515286    -0.021344515
3457.587549    0.035304630
3457.659811    0.003805752
3457.732073    -0.004863428
3457.804336    -0.022789406
3457.876598    -0.002287661
3457.948860    -0.009111662
3458.021123    0.036744926
3458.093385    0.013539674
3458.165648    -0.046573603
3458.237910    0.027847499
3458.310172    -0.066137357
3458.382435    0.028154496
3458.454697    -0.054377489
3458.526959    -0.008917991
3458.599222    0.010643393
3458.671484    -0.009098406
3458.743747    -0.035350007
3458.816009    0.020818741
3458.888271    -0.051741695
3458.960534    -0.044036343
3459.032796    0.024483607
3459.105058    -0.029673926
3459.177321    -0.002885899
3459.249583    0.010692710
3459.321845    -0.011367783
3459.394108    -0.002130480
3459.466370    -0.005872657
3459.538633    -0.003608096
3459.610895    0.019839165
3459.683157    0.013761197
3459.755420    -0.000937913
3459.827682    0.013382106
3459.899944    -0.021755319
3459.972207    -0.027104167
3460.044469    -0.032809723
3460.116732    0.010219146
3460.188994    0.030479471
3460.261256    -0.006596996
3460.333519    -0.056292521
3460.405781    -0.020873514
3460.478043    0.002665219
3460.550306    -0.001441047
3460.622568    -0.006326018
3460.694830    0.015247097
3460.767093    0.013761495
3460.839355    -0.040842952
3460.911618    0.001936322
3460.983880    -0.026338363
3461.056142    -0.002901599
3461.128405    0.021465466
3461.200667    0.035628176
3461.272929    0.008388119
3461.345192    -0.020640216
3461.417454    -0.016909758
3461.489717    0.004404049
3461.561979    -0.032221485
3461.634241    -0.010041690
3461.706504    0.006171810
3461.778766    0.013737197
3461.851028    -0.015530655
3461.923291    0.000544656
3461.995553    0.024469597
3462.067815    -0.000985388
3462.140078    -0.049669478
3462.212340    -0.003150993
3462.284603    -0.002244938
3462.356865    -0.018440234
3462.429127    -0.007241336
3462.501390    -0.043825172
3462.573652    0.021763550
3462.645914    0.001914702
3462.718177    -0.021319645
3462.790439    -0.002539644
3462.862702    -0.005011769
3462.934964    -0.028995125
3463.007226    -0.072424388
3463.079489    -0.076754063
3463.151751    0.040547590
3463.224013    -0.035100222
3463.296276    -0.015220312
3463.368538    0.005650827
3463.440800    -0.016818129
3463.513063    0.020613860
3463.585325    -0.030930331
3463.657588    0.005491979
3463.729850    -0.058327662
3463.802112    0.009175819
3463.874375    0.008535816
3463.946637    0.000822227
3464.018899    -0.000749881
3464.091162    -0.001529670
3464.163424    0.012834650
3464.235686    0.015215964
3464.307949    -0.030702937
3464.380211    0.017530266
3464.452474    -0.030754789
3464.524736    -0.003952386
3464.596998    -0.013992239
3464.669261    0.003683157
3464.741523    -0.015876139
3464.813785    0.001884876
3464.886048    -0.019389708
3464.958310    -0.030936782
3465.030573    0.017890213
3465.102835    0.005973621
3465.175097    0.004574543
3465.247360    0.015247447
3465.319622    -0.033306860
3465.391884    0.014258738
3465.464147    -0.033205690
3465.536409    0.001428603
3465.608671    -0.012036523
3465.680934    -0.001169923
3465.753196    0.009093139
3465.825459    -0.007178339
3465.897721    -0.029855730
3465.969983    0.014726528
3466.042246    0.020699582
3466.114508    0.008861986
3466.186770    0.017342601
3466.259033    -0.050085994
3466.331295    -0.005867396
3466.403558    -0.010340426
3466.475820    -0.054651463
3466.548082    -0.004947651
3466.620345    -0.007474382
3466.692607    -0.043826725
3466.764869    -0.027761828
3466.837132    -0.005466853
3466.909394    0.006993681
3466.981656    0.009552785
3467.053919    -0.034104269
3467.126181    -0.033406682
3467.198444    -0.019628883
3467.270706    -0.008642787
3467.342968    -0.021279391
3467.415231    -0.012037869
3467.487493    0.009693685
3467.559755    0.009097651
3467.632018    -0.004049944
3467.704280    -0.034854422
3467.776543    -0.019178694
3467.848805    0.006241785
3467.921067    0.013635351
3467.993330    0.018274570
3468.065592    -0.032860578
3468.137854    -0.018471143
3468.210117    -0.036421785
3468.282379    -0.078114421
3468.354641    -0.033552386
3468.426904    -0.049894214
3468.499166    0.026349474
3468.571429    0.004211113
3468.643691    -0.022645229
3468.715953    -0.005558530
3468.788216    0.002840420
3468.860478    0.035034359
3468.932740    0.011604114
3469.005003    0.029672635
3469.077265    0.004649124
3469.149528    0.024354272
3469.221790    0.027778356
3469.294052    0.015468951
3469.366315    -0.006164182
3469.438577    0.019455021
3469.510839    -0.016375541
3469.583102    0.027522643
3469.655364    -0.013459735
3469.727626    -0.023235552
3469.799889    0.038568765
3469.872151    -0.016707045
3469.944414    -0.002862067
3470.016676    -0.032399180
3470.088938    -0.023617450
3470.161201    -0.014924423
3470.233463    -0.030556725
3470.305725    0.022682445
3470.377988    -0.024156943
3470.450250    -0.036944411
3470.522513    0.020167284
3470.594775    0.010377622
3470.667037    -0.062672229
3470.739300    -0.020348499
3470.811562    0.017352310
3470.883824    -0.025118518
3470.956087    -0.013291818
3471.028349    -0.012350850
3471.100611    -0.060940920
3471.172874    -0.027910678
3471.245136    0.012023936
3471.317399    0.028446145
3471.389661    -0.008244931
3471.461923    -0.008927790
3471.534186    0.007049796
3471.606448    -0.002229510
3471.678710    0.006052020
3471.750973    -0.027255675
3471.823235    -0.005612644
3471.895497    0.006022552
3471.967760    0.008247204
3472.040022    -0.043617385
3472.112285    0.013694589
3472.184547    -0.003285735
3472.256809    -0.002302763
3472.329072    -0.048674049
3472.401334    -0.005082107
3472.473596    -0.044086287
3472.545859    -0.066785250
3472.618121    -0.003669949
3472.690384    -0.006027304
3472.762646    -0.004497990
3472.834908    -0.001600183
3472.907171    -0.005798250
3472.979433    0.020753092
3473.051695    0.013825988
3473.123958    0.033532753
3473.196220    0.055298252
3473.268482    0.013139284
3473.340745    0.013863675
3473.413007    0.040408750
3473.485270    -0.026318645
3473.557532    -0.013085959
3473.629794    0.000941807
3473.702057    -0.042694017
3473.774319    0.018101256
