# Sample: OvBMO N2 light
# Condition: N2 light
# Solvent: water + DMSO PBN stock
# Microwave Frequency: 9.85 GHz
# Field unit: G
# XPTS: 1800
# Date: demo
Field_G    Intensity
3450.000000    -0.028531469
3450.072262    -0.021467659
3450.144525    -0.022517030
3450.216787    -0.002951048
3450.289049    -0.012555186
3450.361312    -0.005551971
3450.433574    0.007819099
3450.505837    0.008106251
3450.578099    0.000978504
3450.650361    -0.016278250
3450.722624    -0.021940543
3450.794886    -0.023047723
3450.867148    -0.014256336
3450.939411    -0.008793137
3451.011673    -0.025955552
3451.083936    -0.028970904
3451.156198    -0.002106262
3451.228460    -0.042325558
3451.300723    -0.011089344
3451.372985    0.000161963
3451.445247    -0.026142807
3451.517510    -0.028512675
3451.589772    -0.021933374
3451.662034    0.004343119
3451.734297    -0.010152058
3451.806559    -0.042583916
3451.878822    -0.015606337
3451.951084    0.011203381
3452.023346    0.010650060
3452.095609    0.004064604
3452.167871    -0.012113349
3452.240133    -0.042067297
3452.312396    -0.004493212
3452.384658    -0.010927284
3452.456921    -0.006204267
3452.529183    0.021132402
3452.601445    -0.004192234
3452.673708    -0.002455096
3452.745970    0.003684839
3452.818232    -0.012373110
3452.890495    -0.019967600
3452.962757    -0.021319636
3453.035019    0.006741210
3453.107282    0.001857503
3453.179544    -0.016669901
3453.251807    0.013962409
3453.324069    -0.004085104
3453.396331    -0.032503785
3453.468594    0.003794511
3453.540856    -0.010094739
3453.613118    -0.032262328
3453.685381    0.002137519
3453.757643    -0.013894943
3453.829906    -0.014771624
3453.902168    0.003553665
3453.974430    -0.048319923
3454.046693    -0.031244758
3454.118955    -0.015333467
3454.191217    -0.002761772
3454.263480    -0.019800580
3454.335742    -0.025974538
3454.408004    -0.027003723
3454.480267    -0.009556843
3454.552529    0.005226941
3454.624792    -0.034388665
3454.697054    -0.046133700
3454.769316    -0.012876567
3454.841579    -0.014445305
3454.913841    -0.024261964
3454.986103    0.004104464
3455.058366    0.007710837
3455.130628    -0.017803500
3455.202890    -0.013696873
3455.275153    0.003364994
3455.347415    -0.015258217
3455.419678    -0.033409470
3455.491940    -0.008495448
3455.564202    -0.024087075
3455.636465    -0.001150808
3455.708727    -0.016626625
3455.780989    -0.010724168
3455.853252    0.002498038
3455.925514    -0.009505306
3455.997777    -0.018990650
3456.070039    -0.025925901
3456.142301    0.024943783
3456.214564    0.013495592
3456.286826    -0.035168172
3456.359088    -0.026744702
3456.431351    0.003779696
3456.503613    -0.018071902
3456.575875    -0.006808287
3456.648138    0.008097452
3456.720400    -0.004670193
3456.792663    -0.009471541
3456.864925    -0.015883560
3456.937187    -0.008654224
3457.009450    0.000177452
3457.081712    0.025324753
3457.153974    0.012845393
3457.226237    -0.010723053
3457.298499    0.010096851
3457.370762    -0.004800238
3457.443024    -0.034598158
3457.515286    -0.008953907
3457.587549    0.011592405
3457.659811    -0.018066107
3457.732073    0.010517318
3457.804336    -0.012645027
3457.876598    -0.006422646
3457.948860    -0.029118178
3458.021123    0.031705368
3458.093385    0.001567813
3458.165648    0.011926471
3458.237910    -0.015309569
3458.310172    -0.034146202
3458.382435    0.015744381
3458.454697    -0.020112766
3458.526959    0.023976833
3458.599222    -0.010009669
3458.671484    0.023483173
3458.743747    -0.020393716
3458.816009    -0.039682819
3458.888271    0.006237227
3458.960534    -0.008039144
3459.032796    -0.006811181
3459.105058    0.012804546
3459.177321    -0.023190309
3459.249583    -0.030871948
3459.321845    -0.028509011
3459.394108    -0.038078691
3459.466370    -0.040426880
3459.538633    -0.030657556
3459.610895    -0.024844139
3459.683157    -0.015229849
3459.755420    -0.029306392
3459.827682    -0.009443240
3459.899944    0.006992946
3459.972207    -0.011326892
3460.044469    0.000456207
3460.116732    -0.024464485
3460.188994    -0.002181097
3460.261256    0.000942656
3460.333519    -0.019975677
3460.405781    -0.036692816
3460.478043    -0.011843018
3460.550306    -0.008748511
3460.622568    0.017734095
3460.694830    -0.016651192
3460.767093    0.021187028
3460.839355    -0.053891368
3460.911618    -0.015210831
3460.983880    -0.018741819
3461.056142    -0.016827052
3461.128405    -0.019658823
3461.200667    -0.010798563
3461.272929    0.020385039
3461.345192    -0.012784123
3461.417454    0.011989112
3461.489717    -0.011767197
3461.561979    -0.008007648
3461.634241    -0.053833622
3461.706504    -0.008413905
3461.778766    0.001149131
3461.851028    -0.030991866
3461.923291    -0.021288139
3461.995553    -0.025781170
3462.067815    0.028994099
3462.140078    -0.028136499
3462.212340    -0.023359236
3462.284603    -0.060061529
3462.356865    -0.039174582
3462.429127    -0.006323820
3462.501390    -0.033679456
3462.573652    -0.060990716
3462.645914    -0.015549231
3462.718177    -0.008334224
3462.790439    -0.005315064
3462.862702    -0.003452090
3462.934964    -0.021417524
3463.007226    0.041312964
3463.079489    -0.020454047
3463.151751    -0.002081159
3463.224013    -0.033574590
3463.296276    -0.021628955
3463.368538    -0.038279346
3463.440800    -0.006213982
3463.513063    -0.017503950
3463.585325    -0.028586900
3463.657588    -0.046989736
3463.729850    0.000047956
3463.802112    0.004995330
3463.874375    0.005357591
3463.946637    -0.011581395
3464.018899    0.002846125
3464.091162    0.006931983
3464.163424    -0.000379481
3464.235686    0.016702137
3464.307949    -0.012578120
3464.380211    -0.005718717
3464.452474    -0.037397795
3464.524736    0.029201333
3464.596998    -0.023019438
3464.669261    -0.003106823
3464.741523    0.002626697
3464.813785    -0.023864956
3464.886048    -0.009592414
3464.958310    0.003969787
3465.030573    -0.010361266
3465.102835    -0.014151177
3465.175097    -0.014342694
3465.247360    -0.021512858
3465.319622    -0.011494961
3465.391884    -0.001554921
3465.464147    0.000145804
3465.536409    0.011978936
3465.608671    -0.007155751
3465.680934    -0.017496361
3465.753196    0.007538737
3465.825459    -0.001475900
3465.897721    0.010606875
3465.969983    -0.004347270
3466.042246    0.002092371
3466.114508    -0.000462672
3466.186770    0.005818799
3466.259033    -0.025575679
3466.331295    -0.009501776
3466.403558    -0.004220681
3466.475820    0.024124767
3466.548082    -0.008807373
3466.620345    0.001004247
3466.692607    -0.010725977
3466.764869    -0.045481814
3466.837132    0.015555302
3466.909394    0.005098281
3466.981656    0.015630912
3467.053919    -0.032452905
3467.126181    -0.002137371
3467.198444    -0.004107185
3467.270706    -0.036218213
3467.342968    0.001278383
3467.415231    -0.018509094
3467.487493    0.001769323
3467.559755    -0.037906748
3467.632018    -0.023526374
3467.704280    -0.020336424
3467.776543    -0.035366469
3467.848805    -0.006208843
3467.921067    0.016932927
3467.993330    -0.007563557
3468.065592    0.004430412
3468.137854    0.019974888
3468.210117    0.003068203
3468.282379    -0.014012055
3468.354641    -0.042512196
3468.426904    -0.000605693
3468.499166    -0.013125854
3468.571429    -0.015493916
3468.643691    0.006382713
3468.715953    0.003094997
3468.788216    -0.035946264
3468.860478    -0.002498204
3468.932740    -0.012934201
3469.005003    0.008839658
3469.077265    -0.007307498
3469.149528    0.010196318
3469.221790    -0.019118342
3469.294052    -0.014229275
3469.366315    -0.016869621
3469.438577    -0.010195508
3469.510839    -0.011295334
