# Sample: PBN DMSO water light blank
# Condition: blank light
# Solvent: water + DMSO PBN stock
# Microwave Frequency: 9.85 GHz
# Field unit: G
# XPTS: 1800
# Date: demo
Field_G    Intensity
3450.000000    -0.015425172
3450.072262    -0.008629542
3450.144525    0.017538222
3450.216787    0.003250109
3450.289049    -0.029479519
3450.361312    -0.006189714
3450.433574    -0.014980588
3450.505837    -0.003986829
3450.578099    -0.028979289
3450.650361    -0.002647618
3450.722624    -0.002731644
3450.794886    0.016346836
3450.867148    -0.001561430
3450.939411    0.001204690
3451.011673    -0.027300336
3451.083936    0.026009621
3451.156198    -0.033299046
3451.228460    0.009645870
3451.300723    -0.010720254
3451.372985    -0.018550348
3451.445247    -0.015350785
3451.517510    -0.015567697
3451.589772    -0.000588014
3451.662034    -0.007557274
3451.734297    0.015112622
3451.806559    -0.032012402
3451.878822    -0.006014227
3451.951084    -0.018657334
3452.023346    0.005084044
3452.095609    -0.036089416
3452.167871    -0.010833433
3452.240133    -0.002945030
3452.312396    -0.027049852
3452.384658    0.008097604
3452.456921    -0.003371923
3452.529183    0.008419405
3452.601445    0.007747964
3452.673708    -0.019837462
3452.745970    -0.017239856
3452.818232    -0.008773772
3452.890495    0.004769954
3452.962757    0.006242670
3453.035019    -0.015958338
3453.107282    -0.014493020
3453.179544    -0.017198678
3453.251807    -0.014152459
3453.324069    -0.009217502
3453.396331    -0.007700661
3453.468594    0.023468763
3453.540856    -0.013017162
3453.613118    -0.009912675
3453.685381    0.000728296
3453.757643    -0.019352447
3453.829906    -0.011028890
3453.902168    -0.005586906
3453.974430    0.005246531
3454.046693    -0.024489331
3454.118955    0.013760256
3454.191217    -0.010764129
3454.263480    -0.003330979
3454.335742    0.006319164
3454.408004    0.003675133
3454.480267    0.009351818
3454.552529    -0.003249428
3454.624792    -0.005986177
3454.697054    -0.001196683
3454.769316    -0.019862144
3454.841579    0.011591506
3454.913841    -0.016713004
3454.986103    -0.023605544
3455.058366    0.023597055
3455.130628    -0.007600110
3455.202890    -0.022430409
3455.275153    0.020712996
3455.347415    -0.010329469
3455.419678    0.009482493
3455.491940    -0.017427352
3455.564202    -0.009156979
3455.636465    -0.029637535
3455.708727    -0.032767005
3455.780989    -0.019490605
3455.853252    -0.006699574
3455.925514    0.005773122
3455.997777    0.028949698
3456.070039    -0.020251564
3456.142301    0.008797248
3456.214564    -0.014154071
3456.286826    -0.007717885
3456.359088    -0.026617678
3456.431351    -0.026579340
3456.503613    -0.016603983
3456.575875    -0.022497464
3456.648138    -0.005563239
3456.720400    -0.015502425
3456.792663    0.012298546
3456.864925    -0.003314349
3456.937187    -0.003133528
3457.009450    0.010707698
3457.081712    0.001901744
3457.153974    -0.005995236
3457.226237    -0.006748021
3457.298499    -0.007171168
3457.370762    0.009878530
