# Sample: PdBMO N2 light
# Condition: N2 light
# Solvent: water + DMSO PBN stock
# Microwave Frequency: 9.85 GHz
# Field unit: G
# XPTS: 1800
# Date: demo
Field_G    Intensity
3450.000000    -0.007914368
3450.072262    0.018760927
3450.144525    0.016054795
3450.216787    -0.018837381
3450.289049    -0.014555845
3450.361312    -0.019160708
3450.433574    0.002919153
3450.505837    -0.009659311
3450.578099    0.006503147
3450.650361    -0.045672549
3450.722624    0.023011922
3450.794886    -0.010430918
3450.867148    0.005205720
3450.939411    -0.011218035
3451.011673    -0.016086757
3451.083936    0.000865452
3451.156198    0.008145659
3451.228460    -0.012504486
3451.300723    -0.011493701
3451.372985    0.005383605
3451.445247    -0.025907950
3451.517510    -0.038853549
3451.589772    -0.000434127
3451.662034    -0.021858821
3451.734297    -0.046989471
3451.806559    -0.024724976
3451.878822    -0.017745431
3451.951084    -0.032331740
3452.023346    -0.038341610
3452.095609    -0.007571654
3452.167871    0.009750781
3452.240133    -0.012978106
3452.312396    -0.023236572
3452.384658    -0.000523407
3452.456921    0.006170221
3452.529183    -0.014282804
3452.601445    0.002719132
3452.673708    0.012751375
3452.745970    -0.012380393
3452.818232    -0.024571918
3452.890495    -0.001203423
3452.962757    -0.003206979
3453.035019    0.013927510
3453.107282    -0.034007264
3453.179544    -0.021465296
3453.251807    -0.025006713
3453.324069    -0.043017628
3453.396331    -0.005582154
3453.468594    0.002502098
3453.540856    -0.022966838
3453.613118    0.019779088
3453.685381    0.008449301
3453.757643    0.004545933
3453.829906    0.000016519
3453.902168    0.011170384
3453.974430    -0.034838346
3454.046693    0.004316288
3454.118955    0.004102156
3454.191217    -0.043573118
3454.263480    -0.001022062
3454.335742    -0.013030321
3454.408004    0.007738763
3454.480267    -0.016804603
3454.552529    -0.008329016
3454.624792    -0.001054949
3454.697054    -0.025568702
3454.769316    0.004110174
3454.841579    -0.010032569
3454.913841    0.001996056
3454.986103    -0.018398015
3455.058366    0.013959970
3455.130628    0.004294318
3455.202890    -0.011451015
3455.275153    0.004853061
3455.347415    0.017492277
3455.419678    0.028192737
3455.491940    -0.039483204
3455.564202    0.009946849
3455.636465    0.001547261
3455.708727    -0.009686021
3455.780989    -0.028037937
3455.853252    0.017512615
3455.925514    -0.033148468
3455.997777    0.003648096
3456.070039    0.018442287
3456.142301    -0.039915482
3456.214564    -0.013811342
3456.286826    -0.034052049
3456.359088    -0.002795737
3456.431351    0.022768684
3456.503613    0.033021818
3456.575875    -0.043443242
3456.648138    -0.019229730
3456.720400    0.006499117
3456.792663    0.024127823
3456.864925    0.000840275
3456.937187    -0.022632353
3457.009450    -0.001635049
3457.081712    -0.007936192
3457.153974    -0.011690026
3457.226237    -0.022355981
3457.298499    0.000219404
3457.370762    -0.001367065
3457.443024    -0.009420579
3457.515286    -0.011999249
3457.587549    -0.033377057
3457.659811    -0.017299003
3457.732073    0.016760665
