# Sample: Pd-Ov-Bi2MoO6 PBN spin trapping
# Condition: Ar light
# Solvent: water + DMSO PBN stock
# Microwave Frequency: 9.85 GHz
# Field unit: G
# XPTS: 1800
# Date: demo
Field_G    Intensity
3450.000000    0.010403822
3450.072262    0.022401862
3450.144525    -0.049353785
3450.216787    -0.009312459
3450.289049    0.009784602
3450.361312    0.015402236
3450.433574    0.003835808
3450.505837    0.017822039
3450.578099    -0.002177615
3450.650361    0.002161918
3450.722624    -0.004004124
3450.794886    -0.024756853
3450.867148    -0.020982170
3450.939411    -0.000649811
3451.011673    -0.016549233
3451.083936    0.014151047
3451.156198    0.014504849
3451.228460    0.022906653
3451.300723    -0.007331059
3451.372985    0.016043905
3451.445247    -0.021895862
3451.517510    -0.020403492
3451.589772    -0.005517424
3451.662034    -0.002191918
3451.734297    -0.033350479
3451.806559    -0.035525449
3451.878822    -0.000945778
3451.951084    -0.021112893
3452.023346    0.013213898
3452.095609    -0.000266129
3452.167871    -0.001705604
3452.240133    -0.003333702
3452.312396    0.008062039
3452.384658    -0.009308191
3452.456921    0.011230801
3452.529183    -0.015471278
3452.601445    -0.010475213
3452.673708    -0.018016513
3452.745970    0.003177016
3452.818232    -0.006125656
3452.890495    -0.021003558
3452.962757    0.026476838
3453.035019    -0.012723219
3453.107282    -0.008613912
3453.179544    -0.000144669
3453.251807    0.022297256
3453.324069    -0.009120067
3453.396331    0.005002791
3453.468594    -0.005006101
3453.540856    -0.030896716
3453.613118    0.006500161
3453.685381    0.010298681
3453.757643    -0.010587026
3453.829906    -0.006856657
3453.902168    -0.031475839
3453.974430    -0.031825875
3454.046693    -0.013064360
3454.118955    0.003808015
3454.191217    -0.014340930
3454.263480    -0.001709237
3454.335742    0.009499486
3454.408004    -0.004944994
3454.480267    0.002997916
3454.552529    0.017482779
3454.624792    -0.027158758
3454.697054    0.005834848
3454.769316    -0.037726987
3454.841579    0.000673631
3454.913841    -0.003107493
3454.986103    -0.015468937
3455.058366    -0.024310759
3455.130628    -0.007471016
3455.202890    -0.013237086
3455.275153    -0.004810924
3455.347415    -0.021466710
3455.419678    0.002630153
3455.491940    -0.023571793
3455.564202    -0.011436990
3455.636465    -0.012882813
3455.708727    0.014637472
3455.780989    -0.031158922
3455.853252    -0.013222111
3455.925514    0.013247507
3455.997777    -0.017254249
3456.070039    -0.026877541
3456.142301    -0.001637276
3456.214564    -0.011123688
3456.286826    0.007527759
3456.359088    -0.021554259
3456.431351    -0.003126162
3456.503613    0.004758864
3456.575875    0.010893399
3456.648138    -0.024598337
3456.720400    0.017342799
3456.792663    -0.021175742
3456.864925    -0.031308230
3456.937187    -0.022051255
3457.009450    -0.003654470
3457.081712    -0.011545732
3457.153974    0.001096739
3457.226237    0.002019501
3457.298499    -0.000913073
3457.370762    -0.010396121
3457.443024    0.023898760
3457.515286    -0.042889680
3457.587549    -0.034897254
3457.659811    -0.014543901
3457.732073    -0.026938392
3457.804336    -0.048488259
3457.876598    -0.019294148
3457.948860    -0.018526156
3458.021123    -0.046682287
3458.093385    0.008142435
3458.165648    0.015450939
3458.237910    0.014385501
3458.310172    -0.014489178
3458.382435    -0.003608293
3458.454697    -0.024623003
3458.526959    -0.002615721
3458.599222    -0.017202662
3458.671484    0.000773888
3458.743747    -0.011695530
3458.816009    0.011131912
3458.888271    0.007707316
3458.960534    0.014550419
3459.032796    -0.032582687
3459.105058    -0.036125973
3459.177321    0.000750385
3459.249583    -0.015515346
3459.321845    0.000653469
3459.394108    -0.000977705
3459.466370    -0.002935689
3459.538633    0.009322374
3459.610895    0.003320695
3459.683157    0.001934471
3459.755420    -0.020701867
3459.827682    0.022707143
3459.899944    -0.003770924
3459.972207    0.012488210
3460.044469    -0.000430736
3460.116732    0.015196298
3460.188994    -0.003289157
3460.261256    -0.002218238
3460.333519    -0.003531934
3460.405781    -0.017553236
