# Sample: Pd-Ov-Bi2MoO6 PBN spin trapping
# Condition: N2 dark
# Solvent: water + DMSO PBN stock
# Microwave Frequency: 9.85 GHz
# Field unit: G
# XPTS: 1800
# Date: demo
Field_G    Intensity
3450.000000    -0.028011762
3450.072262    -0.039950587
3450.144525    -0.015324975
3450.216787    -0.000013960
3450.289049    0.016367495
3450.361312    -0.007098460
3450.433574    -0.022238116
3450.505837    -0.027536347
3450.578099    0.007555391
3450.650361    0.027835638
3450.722624    -0.003308940
3450.794886    -0.037749458
3450.867148    -0.031445402
3450.939411    0.027087995
3451.011673    -0.004860001
3451.083936    -0.049112169
3451.156198    -0.011391741
3451.228460    -0.036074377
3451.300723    -0.023848468
3451.372985    -0.020604667
3451.445247    -0.025746709
3451.517510    0.003241171
3451.589772    -0.010848689
3451.662034    -0.022877044
3451.734297    -0.000011099
3451.806559    0.009613452
3451.878822    -0.046942404
3451.951084    -0.015218581
3452.023346    -0.031768717
3452.095609    -0.013282841
3452.167871    -0.038805715
3452.240133    -0.008824608
3452.312396    -0.010152568
3452.384658    -0.016235744
3452.456921    -0.033233557
3452.529183    -0.018312903
3452.601445    -0.034202395
3452.673708    -0.040226714
3452.745970    -0.004071869
3452.818232    -0.034578590
3452.890495    0.017580996
3452.962757    0.007214312
3453.035019    -0.054866440
3453.107282    -0.002928741
3453.179544    -0.034343811
3453.251807    -0.008373484
3453.324069    -0.008119531
3453.396331    -0.054591474
3453.468594    -0.014433113
3453.540856    -0.014932709
3453.613118    0.012936675
3453.685381    -0.036083226
3453.757643    0.007837716
3453.829906    -0.034172438
3453.902168    -0.016599400
3453.974430    -0.028234994
3454.046693    0.024143324
3454.118955    0.004013324
3454.191217    0.046653983
3454.263480    0.005723541
3454.335742    0.010381096
3454.408004    0.010294636
3454.480267    -0.022800507
3454.552529    -0.010513872
3454.624792    0.021990731
3454.697054    -0.017958867
3454.769316    -0.004556652
3454.841579    -0.009348826
3454.913841    0.005084839
3454.986103    -0.017186383
3455.058366    -0.012312132
3455.130628    -0.003270079
3455.202890    -0.006445748
3455.275153    -0.028576737
3455.347415    0.011713264
3455.419678    -0.038468956
3455.491940    -0.036229473
3455.564202    -0.038078758
3455.636465    0.013390611
3455.708727    -0.016965948
3455.780989    -0.030917426
3455.853252    -0.034679261
3455.925514    0.000953305
3455.997777    -0.032797720
3456.070039    -0.037754828
3456.142301    0.005401868
3456.214564    -0.036006160
3456.286826    -0.015994708
3456.359088    -0.008761225
3456.431351    -0.018781433
3456.503613    -0.009819371
3456.575875    0.022055184
3456.648138    -0.020381436
3456.720400    -0.037352027
3456.792663    -0.050548772
3456.864925    -0.013204433
3456.937187    -0.016565988
3457.009450    -0.002431628
3457.081712    -0.019103033
3457.153974    -0.019419935
3457.226237    -0.024958880
3457.298499    -0.020335853
3457.370762    -0.004768583
3457.443024    -0.017122104
3457.515286    -0.006111392
3457.587549    0.035093582
3457.659811    0.002575752
3457.732073    -0.044425307
3457.804336    0.031295620
3457.876598    -0.000390675
3457.948860    -0.029869599
3458.021123    0.012426957
3458.093385    -0.007905718
3458.165648    -0.022370435
3458.237910    -0.022776363
3458.310172    -0.030997225
3458.382435    -0.007158965
3458.454697    0.016202283
3458.526959    -0.015670368
3458.599222    0.001404275
3458.671484    0.034696263
3458.743747    -0.035981271
3458.816009    -0.002293729
3458.888271    -0.015181920
3458.960534    -0.032390328
3459.032796    -0.031613534
3459.105058    -0.008484070
3459.177321    0.001802906
3459.249583    -0.020269536
3459.321845    -0.006852476
3459.394108    0.008436654
3459.466370    -0.001287548
3459.538633    0.011812224
3459.610895    0.002508323
3459.683157    0.003129668
3459.755420    0.033763820
3459.827682    0.006246923
3459.899944    -0.005033967
3459.972207    0.008257180
3460.044469    -0.028995534
3460.116732    -0.015682725
3460.188994    0.010200220
3460.261256    0.006497194
3460.333519    0.027499699
3460.405781    -0.007667228
3460.478043    -0.041345243
3460.550306    0.036662505
3460.622568    0.017131656
3460.694830    -0.032074750
3460.767093    0.023629308
3460.839355    -0.007089056
3460.911618    -0.049311638
3460.983880    -0.017420413
3461.056142    -0.019433211
3461.128405    0.028612039
3461.200667    -0.025885047
3461.272929    -0.013554980
3461.345192    -0.014071547
3461.417454    -0.016396818
3461.489717    -0.028624548
3461.561979    -0.002690286
3461.634241    0.016943142
3461.706504    0.006597492
3461.778766    -0.028880080
3461.851028    -0.033952718
3461.923291    -0.004915866
3461.995553    -0.023787706
3462.067815    -0.022026751
3462.140078    -0.046022067
3462.212340    0.037032465
3462.284603    0.013395317
3462.356865    -0.029838028
3462.429127    0.013228963
3462.501390    0.023176189
3462.573652    -0.062182287
3462.645914    -0.020064794
3462.718177    -0.016369471
3462.790439    0.007347600
3462.862702    -0.010246890
3462.934964    -0.012726430
3463.007226    -0.008777410
3463.079489    0.034966324
3463.151751    0.041994263
3463.224013    -0.019408337
3463.296276    -0.028577733
3463.368538    0.054216457
3463.440800    -0.029775245
3463.513063    -0.020466857
3463.585325    -0.006500111
3463.657588    0.003730683
3463.729850    0.016228993
3463.802112    0.001646459
3463.874375    -0.027240025
3463.946637    0.004312892
3464.018899    -0.001540539
3464.091162    0.035690875
3464.163424    -0.007574014
3464.235686    -0.037801218
3464.307949    -0.031109382
3464.380211    0.025981762
3464.452474    -0.019533212
3464.524736    -0.055304455
3464.596998    -0.020434478
3464.669261    -0.007137063
3464.741523    0.020070847
3464.813785    -0.030316826
3464.886048    0.008153438
3464.958310    0.011109014
3465.030573    -0.023068925
3465.102835    -0.011347902
3465.175097    0.033433450
3465.247360    0.032326862
3465.319622    0.012554116
3465.391884    0.000590714
3465.464147    0.019050064
3465.536409    -0.010193560
3465.608671    -0.009137219
3465.680934    -0.026629322
3465.753196    -0.006807452
3465.825459    -0.008797235
3465.897721    0.056540197
3465.969983    -0.011305106
3466.042246    0.022190249
3466.114508    0.023340376
3466.186770    -0.011118419
3466.259033    0.019911366
3466.331295    -0.056620426
3466.403558    -0.004639932
3466.475820    0.012812467
3466.548082    -0.061635698
3466.620345    -0.033286396
3466.692607    0.017401804
3466.764869    -0.012621529
3466.837132    -0.031850077
3466.909394    -0.015260686
3466.981656    -0.019112537
3467.053919    0.009885192
3467.126181    0.003709962
3467.198444    -0.013069154
3467.270706    -0.021864778
3467.342968    -0.007863296
