# Sample: Pd-Ov-Bi2MoO6 PBN spin trapping
# Condition: N2 light
# Solvent: water + DMSO PBN stock
# Microwave Frequency: 9.85 GHz
# Field unit: G
# XPTS: 1800
# Date: demo
Field_G    Intensity
3450.000000    -0.032049290
3450.072262    -0.026089705
3450.144525    -0.026444640
3450.216787    -0.011476609
3450.289049    -0.040530054
3450.361312    -0.009049896
3450.433574    -0.020428784
3450.505837    0.007007728
3450.578099    0.007952663
3450.650361    0.014412989
3450.722624    0.005161399
3450.794886    -0.006990594
3450.867148    0.006544892
3450.939411    0.016121475
3451.011673    -0.015867911
3451.083936    0.002871132
3451.156198    -0.006798908
3451.228460    0.015181891
3451.300723    -0.018553789
3451.372985    -0.010612388
3451.445247    -0.000766097
3451.517510    -0.002303078
3451.589772    -0.030416812
3451.662034    -0.000775466
3451.734297    -0.007861329
3451.806559    -0.009650559
3451.878822    -0.008391412
3451.951084    -0.002837087
3452.023346    -0.032993107
3452.095609    0.016940374
3452.167871    -0.018825533
3452.240133    -0.039268050
3452.312396    -0.007258624
3452.384658    0.015563452
3452.456921    -0.013713946
3452.529183    0.016968869
3452.601445    0.017060544
3452.673708    -0.018790790
3452.745970    -0.042530136
3452.818232    -0.024295014
3452.890495    0.011615321
3452.962757    -0.018078834
3453.035019    -0.028354641
3453.107282    -0.025783353
3453.179544    -0.005948618
3453.251807    -0.006330483
3453.324069    0.006987683
3453.396331    0.008729405
3453.468594    -0.019736089
3453.540856    -0.008235754
3453.613118    -0.022709546
3453.685381    -0.004831734
3453.757643    -0.022941146
3453.829906    -0.023669104
3453.902168    0.025594763
3453.974430    -0.005386131
3454.046693    0.003673400
3454.118955    0.031763459
3454.191217    0.005803124
3454.263480    -0.007526633
3454.335742    -0.005018280
3454.408004    -0.016852722
3454.480267    0.010406122
3454.552529    -0.010698608
3454.624792    0.020327339
3454.697054    -0.010897619
3454.769316    -0.011021193
3454.841579    -0.011987862
3454.913841    0.003507666
3454.986103    -0.002986825
3455.058366    0.014574959
3455.130628    -0.013942077
3455.202890    -0.001432476
3455.275153    0.022994245
3455.347415    -0.009280505
3455.419678    0.002182929
3455.491940    0.017592504
3455.564202    0.002507332
3455.636465    -0.015090004
3455.708727    -0.036242511
3455.780989    0.029795069
3455.853252    0.000713920
3455.925514    0.013025370
3455.997777    -0.012706398
3456.070039    0.021309825
3456.142301    0.002067647
3456.214564    -0.004885958
3456.286826    -0.018980807
3456.359088    -0.000151781
3456.431351    -0.012810587
3456.503613    -0.008893826
3456.575875    -0.029629803
3456.648138    -0.012846558
3456.720400    -0.003199388
3456.792663    -0.024097534
3456.864925    -0.004457827
3456.937187    0.004284822
3457.009450    -0.010083251
3457.081712    -0.014729104
