# Sample: Pd-Ov-Bi2MoO6 PBN spin trapping
# Condition: air/O2 light
# Solvent: water + DMSO PBN stock
# Microwave Frequency: 9.85 GHz
# Field unit: G
# XPTS: 1800
# Date: demo
Field_G    Intensity
3450.000000    -0.005414585
3450.072262    -0.001619420
3450.144525    -0.008908387
3450.216787    -0.016752204
3450.289049    -0.011194502
3450.361312    -0.018026197
3450.433574    -0.004625680
3450.505837    0.011681900
3450.578099    -0.011646706
3450.650361    -0.013273692
3450.722624    0.000872143
3450.794886    -0.000814523
3450.867148    -0.004010457
3450.939411    -0.017195487
3451.011673    -0.005712448
3451.083936    0.003520892
3451.156198    -0.022444974
3451.228460    -0.011148077
3451.300723    -0.029525288
3451.372985    -0.021729290
3451.445247    -0.028754801
3451.517510    -0.008288450
3451.589772    -0.021428553
3451.662034    -0.001827295
3451.734297    -0.003279093
3451.806559    -0.007649250
3451.878822    -0.037312079
3451.951084    -0.012115817
3452.023346    -0.005866962
3452.095609    -0.003799901
3452.167871    -0.024721936
3452.240133    -0.011313836
3452.312396    -0.017684370
3452.384658    -0.015517058
3452.456921    0.008299671
3452.529183    -0.015487482
3452.601445    -0.005611547
3452.673708    0.006071403
3452.745970    -0.012616285
3452.818232    -0.006600370
3452.890495    -0.003764682
3452.962757    -0.004352655
3453.035019    -0.020758907
3453.107282    -0.004182258
3453.179544    0.012158640
3453.251807    -0.024841028
3453.324069    0.005811518
3453.396331    -0.003605893
3453.468594    -0.013288127
3453.540856    0.020361622
3453.613118    0.004600781
3453.685381    -0.020372123
3453.757643    -0.004144268
3453.829906    0.002257210
3453.902168    -0.007484193
3453.974430    0.003622946
3454.046693    -0.005914139
3454.118955    0.003436559
3454.191217    0.013264935
3454.263480    -0.013651707
3454.335742    -0.002454035
3454.408004    -0.010934379
3454.480267    -0.003407116
3454.552529    -0.020139654
3454.624792    -0.012391863
3454.697054    -0.007506634
3454.769316    0.006443737
3454.841579    0.009588826
3454.913841    -0.021843019
3454.986103    -0.015101342
3455.058366    0.003262651
3455.130628    -0.030341363
3455.202890    -0.010860492
3455.275153    -0.006194569
3455.347415    0.011058423
3455.419678    0.003836729
3455.491940    -0.009102853
3455.564202    -0.009623005
3455.636465    -0.008108902
3455.708727    0.014485261
3455.780989    -0.010360309
3455.853252    -0.008770248
3455.925514    -0.000406364
3455.997777    -0.006427788
3456.070039    -0.007395560
3456.142301    -0.019063775
3456.214564    -0.005016757
3456.286826    -0.010512237
3456.359088    0.009993280
3456.431351    0.003466567
3456.503613    -0.005151065
3456.575875    0.003674534
3456.648138    -0.009158462
3456.720400    0.008574591
3456.792663    -0.004885899
3456.864925    0.002618594
3456.937187    -0.021242826
3457.009450    -0.000382447
3457.081712    -0.026289139
3457.153974    -0.030702982
3457.226237    -0.008654731
3457.298499    -0.016230886
3457.370762    -0.002674938
3457.443024    0.023828524
3457.515286    -0.015342399
3457.587549    -0.012689770
3457.659811    -0.002121753
3457.732073    0.001547477
3457.804336    -0.006970615
3457.876598    -0.007339931
3457.948860    0.004234708
3458.021123    0.001916617
3458.093385    -0.017860891
3458.165648    -0.005699165
3458.237910    -0.004234788
3458.310172    -0.018105853
3458.382435    -0.001361856
3458.454697    -0.015589789
3458.526959    0.007721412
3458.599222    -0.002196193
3458.671484    -0.003506753
3458.743747    -0.012163810
3458.816009    -0.006141074
3458.888271    -0.030064319
3458.960534    -0.019025181
3459.032796    0.000010088
3459.105058    -0.031710132
3459.177321    0.006184092
3459.249583    -0.026826107
3459.321845    0.005053081
3459.394108    -0.015343934
3459.466370    0.005349913
3459.538633    -0.002895847
3459.610895    -0.024127609
3459.683157    0.011357366
3459.755420    0.013816253
3459.827682    -0.005374481
3459.899944    -0.008017935
3459.972207    -0.006558815
3460.044469    -0.016934346
3460.116732    0.009480538
3460.188994    -0.011416183
3460.261256    -0.005147820
3460.333519    -0.014591431
3460.405781    -0.012455143
3460.478043    -0.020746857
3460.550306    0.011539380
3460.622568    -0.006424275
3460.694830    0.007845322
3460.767093    -0.004278774
3460.839355    -0.013284572
3460.911618    -0.008595046
3460.983880    -0.011562340
3461.056142    -0.004319888
3461.128405    -0.009193283
3461.200667    -0.008226981
3461.272929    -0.021956315
3461.345192    -0.014668784
3461.417454    0.016676531
3461.489717    -0.012928156
3461.561979    -0.017796874
3461.634241    -0.000070931
3461.706504    0.013561188
3461.778766    -0.022869271
3461.851028    -0.007001510
3461.923291    -0.012388123
3461.995553    -0.026758140
3462.067815    0.005033465
3462.140078    -0.004617168
3462.212340    -0.003401966
3462.284603    -0.013885210
3462.356865    0.001493489
3462.429127    -0.011158798
3462.501390    -0.006104006
3462.573652    -0.018390497
3462.645914    -0.019756913
3462.718177    0.012743900
3462.790439    -0.010714326
3462.862702    -0.000535245
3462.934964    -0.004673046
3463.007226    -0.009853597
3463.079489    -0.010697535
3463.151751    0.003801868
3463.224013    -0.008059152
3463.296276    -0.006136626
3463.368538    -0.003918128
3463.440800    0.010788145
3463.513063    0.004478805
3463.585325    0.000692014
3463.657588    -0.011350080
3463.729850    -0.021765022
3463.802112    0.007932535
3463.874375    0.008154954
3463.946637    -0.005937175
3464.018899    0.002762324
3464.091162    0.005820004
3464.163424    0.006460447
3464.235686    0.007616104
3464.307949    -0.009912359
3464.380211    0.015189241
3464.452474    -0.019971015
3464.524736    0.006884468
3464.596998    0.002207859
3464.669261    0.007050049
3464.741523    0.019860276
3464.813785    0.014842758
3464.886048    -0.018637221
3464.958310    -0.025551307
3465.030573    0.006362945
3465.102835    -0.016958403
3465.175097    -0.004183569
3465.247360    0.006675051
3465.319622    -0.024944405
3465.391884    -0.030873927
3465.464147    -0.000695116
